image,channel,param,quality,repeat,psnr,ssim,compression_ratio,time_source_enc,time_channel_enc,time_interleave,time_transmission,time_channel_dec,time_source_dec,actual_error_rate,viterbi_ber,source_bits,encoded_bits
synthetic_noise,bec,0.05,10,1,10.429934077664864,0.32968582353835224,10.870728740462235,0.2264942999999846,0.017948300000000472,0.02285779999999704,0.021501299999982848,2.938916500000005,0.22162939999998343,0.049475775824652776,0.0012717018688488335,144688,289388
synthetic_nature,bec,0.05,50,1,19.181760772662166,0.8425581489432895,15.718580108730412,0.20956480000000965,0.010034500000017488,0.013475699999986546,0.012496099999992794,1.9643953000000067,0.24354819999999222,0.049658203125,0.0013691237607930925,100064,200140
synthetic_geometric,bec,0.05,50,1,20.769913297003452,0.8975579453852643,24.736789129340714,0.19882379999998534,0.005966999999998279,0.0069424999999796455,0.0077950000000157615,1.234957900000012,0.22863660000001573,0.04925537109375,0.0013210870659285355,63584,127180
synthetic_gradient,bec,0.05,50,1,23.90254938373408,0.9249469627901808,23.982434740180533,0.20745940000000473,0.005823100000014847,0.008564699999993763,0.010174900000009757,1.28789009999997,0.25585859999998206,0.04925896139705882,0.0011740668455720907,65584,131180
synthetic_noise,bec,0.05,50,1,10.14977027459622,0.5925221847744736,2.0039343192914147,0.36461069999998585,0.1009523000000172,0.11511629999998263,0.11272389999999177,15.909271599999983,0.415548699999988,0.04992802937825521,0.00122183037579884,784888,1569788
synthetic_nature,bec,0.05,90,1,19.768592916898964,0.8014243653067378,8.404565468302483,0.22743559999997842,0.021816599999965547,0.02688260000002174,0.025240900000028432,3.825191600000039,0.5634310000000369,0.04964015794836957,0.0012450305646988416,187144,374300
synthetic_geometric,bec,0.05,90,1,18.69753474664155,0.8568534744207389,14.708461135632527,0.1986082999999894,0.011032300000010764,0.01497940000001563,0.014352199999962068,2.1353862999999933,0.4491719999999759,0.04955150462962963,0.0012437345702102191,106936,213884
synthetic_gradient,bec,0.05,90,1,22.638935089303573,0.9021631164276958,16.096937940068774,0.2105755999999701,0.011143899999979112,0.01384930000000395,0.012984399999993457,1.9168912999999748,0.5088853999999969,0.0497283935546875,0.0012588013754707712,97712,195436
synthetic_noise,bec,0.05,90,1,8.53250755008406,0.4416558257781696,0.9429188048534842,0.49549869999998464,0.19144819999996798,0.24373679999996511,0.23181119999998145,33.70115520000002,0.9179282999999714,0.04999168246400123,0.0013764327849983215,1668080,3336172
synthetic_nature,bec,0.1,10,1,14.942493211582676,0.6061112800372171,28.887452248016455,0.2074117999999885,0.006479699999999866,0.006551399999978003,0.007007100000009814,1.0577726999999868,0.1015704999999798,0.10086495535714286,0.005473111960035263,54448,108908
